participant,date,overall_time,trial_count,click_order,prompt_rt_sec,selection_rt_ms,pressed_object,line_width,top_x,top_y,bottom_x,bottom_y,line_id,line_orientation,selected_or_released,accuracy,possible_thinnest_lines,is_practice,is_anomaly_trial,anomaly_mid_x,anomaly_mid_y,anomaly_line_id,anomaly_group
59,2021_Oct_29_1030,0 days 00:17:14.854014000,27,1,11.025085299999773,1281.9850000000001,line,2.0,381.6137317054993,280.0,283.91201524231184,210.32665789452227,r0c3_bottom_right,forward_slash,selected,,4,False,False,,,,
59,2021_Oct_29_1030,0 days 00:17:15.855179000,27,2,11.025085299999773,2283.15,line,1.3333,-9.19313414725039,280.0,-106.8948506104378,210.32665789452227,r0c1_bottom_right,forward_slash,selected,,4,False,False,,,,
59,2021_Oct_29_1030,0 days 00:17:17.757272000,27,3,11.025085299999773,4185.243,line,1.6667,-106.8948506104378,90.32665789452227,-9.19313414725039,20.653315789044555,r1c1_bottom_left,back_slash,selected,,4,False,False,,,,
59,2021_Oct_29_1030,0 days 00:17:23.396914000,27,4,11.025085299999773,9824.885,submit,,,,,,,,,0.6666666666666666,4,False,False,,,,
59,2021_Oct_29_1030,0 days 00:17:37.710314000,28,1,9.74221960000068,763.949,line,1.0,-9.19313414725039,-99.34668421095544,-106.8948506104378,-169.02002631643316,r2c1_bottom_right,forward_slash,selected,,7,False,False,,,,
59,2021_Oct_29_1030,0 days 00:17:38.743406000,28,2,9.74221960000068,1797.0410000000002,line,1.0,-9.19313414725039,280.0,-106.8948506104378,210.32665789452227,r0c1_bottom_right,forward_slash,selected,,7,False,False,,,,
59,2021_Oct_29_1030,0 days 00:17:39.343815000,28,3,9.74221960000068,2397.45,line,1.3333,-204.5965670736252,280.0,-302.2982835368126,210.32665789452227,r0c0_bottom_right,forward_slash,selected,,7,False,False,,,,
59,2021_Oct_29_1030,0 days 00:17:41.663501000,28,4,9.74221960000068,4717.136,submit,,,,,,,,,1.0,7,False,False,,,,
59,2021_Oct_29_1030,0 days 00:17:53.176308000,29,1,9.489716099999896,331.449,line,1.3333,-204.5965670736252,-99.34668421095544,-302.2982835368126,-169.02002631643316,r2c0_bottom_right,forward_slash,selected,,3,False,False,,,,
59,2021_Oct_29_1030,0 days 00:17:53.874853000,29,2,9.489716099999896,1029.994,line,1.6667,88.50858231593702,90.32665789452227,-9.19313414725039,20.653315789044555,r1c1_bottom_right,forward_slash,selected,,3,False,False,,,,
