"participant","date","overall_time","trial_count","click_order","prompt_rt_sec","selection_rt_ms","pressed_object","line_width","top_x","top_y","bottom_x","bottom_y","line_id","line_orientation","selected_or_released","accuracy","possible_thinnest_lines","is_practice"
90,"2021_Sep_22_1505","0 days 00:08:33.307134000",22,2,1.90071339998394,5217.911,"line",1.6667,381.613731705499,280,283.912015242312,210.326657894522,"r0c3_bottom_right","forward_slash","selected",NA,5,"False"
90,"2021_Sep_22_1505","0 days 00:08:38.981885000",22,3,1.90071339998394,10892.662,"line",1.6667,88.508582315937,90.3266578945223,186.210298779124,20.6533157890446,"r1c2_bottom_left","back_slash","selected",NA,5,"False"
90,"2021_Sep_22_1505","0 days 00:08:39.884988000",22,4,1.90071339998394,11795.765,"submit",NA,NA,NA,NA,NA,"","","",1,5,"False"
90,"2021_Sep_22_1505","0 days 00:08:42.835330000",23,1,1.59843899999396,647.5,"line",1,-204.596567073625,-99.3466842109554,-106.894850610438,-169.020026316433,"r2c1_bottom_left","back_slash","selected",NA,3,"False"
90,"2021_Sep_22_1505","0 days 00:08:45.838077000",23,2,1.59843899999396,3650.247,"line",1.3333,-204.596567073625,280,-302.298283536813,210.326657894522,"r0c0_bottom_right","forward_slash","selected",NA,3,"False"
90,"2021_Sep_22_1505","0 days 00:08:58.684843000",23,3,1.59843899999396,16497.013,"line",2,-9.19313414725039,280,88.508582315937,210.326657894522,"r0c2_bottom_left","back_slash","selected",NA,3,"False"
90,"2021_Sep_22_1505","0 days 00:09:00.404025000",23,4,1.59843899999396,18216.195,"submit",NA,NA,NA,NA,NA,"","","",0.666666666666667,3,"False"
90,"2021_Sep_22_1505","0 days 00:09:03.456855000",24,1,1.77562219998799,581.303,"line",1.6667,88.508582315937,90.3266578945223,-9.19313414725039,20.6533157890446,"r1c1_bottom_right","forward_slash","selected",NA,4,"False"
90,"2021_Sep_22_1505","0 days 00:09:04.623987000",24,2,1.77562219998799,1748.435,"line",1.3333,-9.19313414725039,-99.3466842109554,88.508582315937,-169.020026316433,"r2c2_bottom_left","back_slash","selected",NA,4,"False"
90,"2021_Sep_22_1505","0 days 00:09:05.489658000",24,3,1.77562219998799,2614.106,"line",1.6667,186.210298779124,-99.3466842109554,88.508582315937,-169.020026316433,"r2c2_bottom_right","forward_slash","selected",NA,4,"False"
